Listing ID,Property Type,Street #,Street Name,City,Sale Type,Sale Price,Price Per SqFt,Bedrooms,Full Bath,Half Bath,Property Sqft,Age,Lot SqFt,DOM,View?,Pool?,Sale Date,MLS,Commission,Commission Level,Median Household Income
22128375,,43240,Los Corralitos   ,Temecula,STD,6600000,1320,8,10,0,5000,36,1089000,124,Y,N,44782,CLAW,0.02,Medium,103546
CV21226748,SFR/D,1350 S,Center ST  ,Redlands,"STD,TRUS",5700000,446.74,12,13,1,12759,113,158667,333,Y,Y,44988,CRMLSM,0.03,High,87184
SW21189874,SFR/D,36500,De Portola RD  ,Temecula,STD,4350000,435,5,6,1,10000,41,453460,295,Y,Y,44848,CRMLSM,0.025,Medium,103546
CV22141971,SFR/D,1075 W,25th ST  ,Upland,"STD,TRUS",4030000,423.1,6,8,1,9525,18,59669,0,Y,Y,44755,CRMLSM,0.02,Medium,82259
LG21003563,SFR/D,1559,Heather LN  ,Riverside,STD,4000000,505.75,5,5,0,7909,14,1150855,127,Y,N,44650,CRMLSM,0.02,Medium,76755
219082651PS,SFR/D,41105,Mesa Verde CIR  ,Temecula,STD,3800000,575.76,7,9,0,6600,20,213880,0,Y,N,44774,CDAR,0.02,Medium,103546
SW22069229,SFR/D,41241,Via Anita   ,Temecula,STD,3750000,513.21,11,7,1,7307,18,211702,2,Y,Y,44714,CRMLSM,0.02,Medium,103546
TR21238657,SFR/D,8312,Grapewin ST  ,Eastvale,STD,3700000,1691.04,3,3,0,2188,81,218671,87,Y,Y,44637,CRMLSM,0.025,Medium,141827
EV22009212,SFR/D,1902,Verde Vista DR  ,Redlands,"STD,TRUS",3600000,705.61,4,3,1,5102,8,28476,18,Y,Y,44651,CRMLSM,0.02,Medium,87184
IV23046789,SFR/D,1936 N,Euclid AVE  ,Upland,PRO,3500000,416.22,8,7,1,8409,92,147232,23,Y,N,45034,CRMLSM,0.02,Medium,82259
SW22165961,SFR/D,34670,Santa Rita RD  ,Temecula,STD,3499900,734.96,6,4,0,4762,10,832432,156,Y,N,44986,CRMLSM,0.025,Medium,103546
TR22213948,SFR/D,12770,Amber LN  ,Rancho Cucamonga,STD,3450000,334.95,8,10,1,10300,25,95889,75,Y,Y,44988,CRMLSM,0.025,Medium,97046
IV23021827,SFR/D,13115 S,Ontario AVE  ,Ontario,TRUS,3300000,2892.2,4,1,0,1141,83,175982,78,Y,N,45042,CRMLSM,0.02,Medium,71908
IV22228310,SFR/D,2320,Mary ST  ,Riverside,"STD,TRUS",3218000,571.28,6,5,0,5633,132,159865,113,Y,Y,45016,CRMLSM,0.025,Medium,76755
SW21112969,SFR/D,27550,Morning Glory CIR  ,Temecula,STD,3150000,605.77,5,4,1,5200,22,213444,171,Y,Y,44652,CRMLSM,0.025,Medium,103546
SW22042610,SFR/D,27050,Via Vanessa   ,Temecula,STD,3150000,484.76,5,5,1,6498,15,454331,4,Y,Y,44664,CRMLSM,0.025,Medium,103546
SW21230818,SFR/D,38025,Dorothy CT  ,Temecula,STD,3125000,414.73,8,8,2,7535,1,219978,2,Y,Y,44677,CRMLSM,0.02,Medium,103546
IV22045528,SFR/D,44880,Via Vaquero   ,Temecula,STD,3108000,517.91,7,6,0,6001,6,256133,70,Y,N,44729,CRMLSM,0.025,Medium,103546
SW22007524,SFR/D,43752,Shady Creek Ln   ,Temecula,STD,3000000,411.41,6,5,1,7292,9,218236,4,Y,Y,44691,CRMLSM,0.02,Medium,103546
IV22162992,SFR/D,1061,Talcey   ,Riverside,STD,3000000,485.83,6,5,1,6175,19,81893,129,Y,Y,44895,CRMLSM,0.02,Medium,76755
IV23030631,SFR/D,1413,Irving ST  ,Riverside,STD,3000000,1282.05,2,2,0,2340,18,681714,22,Y,N,45020,CRMLSM,0.025,Medium,76755
IV23065434,SFR/D,7163,Miracle Mile   ,Riverside,"STD,TRUS",3000000,364.96,5,4,2,8220,14,88862,15,Y,Y,45040,CRMLSM,0.02,Medium,76755
IV23027236,SFR/D,2130,Old Quarry RD  ,Riverside,"STD,TRUS",2999900,324.24,4,4,2,9252,30,47916,50,Y,Y,45024,CRMLSM,0.025,Medium,76755
OC23048305,SFR/D,1693,Marion RD  ,Redlands,STD,2994000,579.78,6,5,0,5164,5,60112,6,Y,Y,45044,CRMLSM,0.025,Medium,87184
CV23045445,SFR/D,2543,Belleview RD  ,Upland,STD,2800888,627.72,4,4,1,4462,21,22705,40,Y,Y,45044,CRMLSM,0.02,Medium,82259
22135547,SFR,8345,OVERVIEW CT  ,Yucaipa,STD,2800000,429.25,5,6,1,6523,17,233045,171,Y,Y,44825,CLAW,0.025,Medium,75456
CV22060911,SFR/D,2504,Belleview RD  ,Upland,STD,2750000,545.09,4,3,2,5045,9,24655,11,Y,Y,44700,CRMLSM,0.025,Medium,82259
TR22033030,SFR/D,1056,Young CIR  ,Corona,STD,2700000,414.24,6,6,1,6518,16,40075,11,Y,Y,44705,CRMLSM,0.02,Medium,95268
PW22050331,SFR/D,1147,Sandra CIR  ,Corona,STD,2700000,431.65,6,6,1,6255,13,34848,50,Y,Y,44727,CRMLSM,0.025,Medium,95268
541621,SFR,1479,Nevin RD  ,San Bernardino,,2698000,494.14,8,5,0,5460,16,239580,22,Y,N,44655,CRMLSM,0.02,Medium,55372
SW22184206,SFR/D,41275,Billy Joe LN  ,Temecula,"STD,TRUS",2690000,489.09,5,5,1,5500,19,267023,12,Y,Y,44848,CRMLSM,0.025,Medium,103546
SW22106768,SFR/D,39559,Calle Anita   ,Temecula,STD,2660000,528.62,5,5,1,5032,16,98010,8,Y,Y,44742,CRMLSM,0.02,Medium,103546
IV21256496,SFR/D,6157,Omega ST  ,Riverside,STD,2650000,343.84,4,8,0,7707,13,41818,51,Y,Y,44615,CRMLSM,0.025,Medium,76755
NDP2204355,SFR/D,42144,Citrus Heights   ,Temecula,STD,2650000,590.6,5,5,2,4487,4,219978,3,Y,N,44704,CRMLSP,0.02,Medium,103546
SW22162452,SFR/D,41650,Via Del Monte   ,Temecula,"STD,TRUS",2650000,454.86,8,6,1,5826,33,253084,33,Y,Y,44827,CRMLSM,0.02,Medium,103546
SW22123690,SFR/D,28560,Via Santa Rosa   ,Temecula,STD,2650000,414.26,6,5,1,6397,29,219542,35,Y,N,44831,CRMLSM,0.02,Medium,103546
CV22086014,SFR/D,2533,Vista DR  ,Upland,STD,2625000,385.41,5,4,0,6811,46,426781,17,Y,Y,44748,CRMLSM,0.025,Medium,82259
SW22177870,SFR/D,36410,Calle Puerta Bonita   ,Temecula,STD,2620000,786.79,5,4,2,3330,22,189922,76,Y,Y,44894,CRMLSM,0.025,Medium,103546
NDP2110609,SFR/A,45200,Oak Manor CT  ,Temecula,STD,2607000,434.5,6,5,1,6000,25,237838,115,Y,Y,44643,CRMLSP,0.025,Medium,103546
OC22142919,SFR/D,1078,Young CIR  ,Corona,STD,2600000,446.35,5,6,1,5825,14,40075,20,N,Y,44795,CRMLSM,0.02,Medium,95268
SW21262047,SFR/D,28190,Sycamore Mesa RD  ,Temecula,STD,2590000,445.17,6,5,2,5818,15,199069,15,Y,Y,44589,CRMLSM,0.02,Medium,103546
SW22035728,SFR/D,41175,Mesa Verde CIR  ,Temecula,STD,2550000,410.5,6,5,0,6212,34,220414,20,Y,Y,44666,CRMLSM,0.025,Medium,103546
SW21087291,SFR/D,34970,Santa Rita RD  ,Temecula,STD,2500000,463.82,5,4,1,5390,38,844628,147,Y,N,44582,CRMLSM,0.025,Medium,103546
EV21261493,SFR/D,1225,Calle De Ocotillo   ,Redlands,"STD,TRUS",2500000,639.22,6,4,1,3911,12,22400,9,Y,Y,44585,CRMLSM,0.02,Medium,87184
OC22003054,SFR/D,954,White Ranch CIR  ,Corona,STD,2500000,462.88,5,5,1,5401,18,34848,5,Y,Y,44594,CRMLSM,0.02,Medium,95268
OC22045990,SFR/D,6585,Hawarden DR  ,Riverside,STD,2500000,578.97,4,3,1,4318,45,129809,12,Y,Y,44721,CRMLSM,0.025,Medium,76755
OC22010521,SFR/D,41309,Avenida Biona   ,Temecula,STD,2500000,707.81,4,3,0,3532,38,496584,395,Y,N,45002,CRMLSM,0.025,Medium,103546
CV22089547,SFR/D,805 W,16th ST  ,Upland,STD,2490000,534.79,5,3,1,4656,106,43520,16,Y,N,44743,CRMLSM,0.025,Medium,82259
SW22075715,SFR/D,41615,Rowland CT  ,Temecula,STD,2450000,488.83,4,4,1,5012,19,83635,7,Y,Y,44690,CRMLSM,0.025,Medium,103546
IV22008101,SFR/D,4095,Sierra AVE  ,Norco,STD,2450000,1096.69,4,2,0,2234,73,218672,125,Y,N,44790,CRMLSM,0.02,Medium,115619
SW22159026,SFR/D,31107,Mariposa PL  ,Temecula,STD,2450000,422.41,5,5,1,5800,18,101059,189,Y,Y,44985,CRMLSM,0.02,Medium,103546
PW22195126,SFR/D,31259,Sierra Bonita   ,Temecula,STD,2450000,531.57,4,5,0,4609,8,248728,72,Y,Y,45008,CRMLSM,0.02,Medium,103546
CV21186989,SFR/D,700 W,25th ST  ,Upland,STD,2440000,382.45,5,5,1,6380,19,17487,139,Y,Y,44630,CRMLSM,0.025,Medium,82259
SW23021344,SFR/D,44290,Camino Gatillo   ,Temecula,STD,2440000,503.2,4,3,2,4849,9,273557,0,Y,Y,45000,CRMLSM,0.025,Medium,103546
SW21113696,SFR/D,41960,Butterfield Stage RD  ,Temecula,STD,2400000,335.66,7,5,2,7150,20,185566,134,N,N,44565,CRMLSM,0.025,Medium,103546
SW22018304,SFR/D,41873,Arbor Glen DR  ,Temecula,STD,2400000,497,4,4,1,4829,9,97574,9,Y,Y,44634,CRMLSM,0.025,Medium,103546
OC22072339,SFR/D,39150,Via De Oro LN  ,Temecula,STD,2400000,535.24,4,4,1,4484,8,198634,77,Y,Y,44764,CRMLSM,0.025,Medium,103546
IG21026572,SFR/D,1862,Impresivo DR  ,Corona,STD,2400000,628.11,4,3,1,3821,26,80586,496,Y,Y,44848,CRMLSM,0.025,Medium,95268
IG23062246,SFR/D,1631,Zurita CIR  ,Corona,STD,2400000,418.78,5,4,3,5731,20,25700,0,Y,Y,45030,CRMLSM,0.03,High,95268
SW22008348,SFR/D,40821,Parado Del Sol Dr   ,Temecula,STD,2350000,474.75,7,4,2,4950,18,178596,27,Y,Y,44662,CRMLSM,0.02,Medium,103546
SW21140638,SFR/D,33895,CALLE VISTA   ,Temecula,STD,2350000,384.05,6,4,1,6119,20,270508,242,Y,Y,44664,CRMLSM,0.025,Medium,103546
EV22029556,SFR/D,1706,Smiley Ridge   ,Redlands,STD,2300000,325.59,5,6,2,7064,33,157251,78,Y,Y,44740,CRMLSM,0.025,Medium,87184
CV22257187,SFR/D,10819,Hillside RD  ,Rancho Cucamonga,STD,2300000,360.84,7,6,1,6374,42,34580,63,Y,Y,45020,CRMLSM,0.02,Medium,97046
ND22112337,SFR/D,42200,Calle Barbona   ,Temecula,STD,2280000,507.68,6,3,0,4491,36,228690,107,Y,Y,44910,CRMLSM,0.02,Medium,103546
CV21182419,SFR/D,5000,Laredo PL  ,Rancho Cucamonga,STD,2275000,505.11,5,3,1,4504,32,19980,81,Y,Y,44698,CRMLSM,0.02,Medium,97046
EV21260576,SFR/D,121 E,Sunset DR  S,Redlands,TRUS,2250000,699.84,3,3,1,3215,100,106722,0,Y,N,44580,CRMLSM,0.02,Medium,87184
SW22060863,SFR/D,39111,Chaparral DR  ,Temecula,STD,2250000,488.18,5,4,1,4609,41,201247,15,Y,Y,44750,CRMLSM,0.02,Medium,103546
IV21195987,SFR/D,7181,Miracle Mile   ,Riverside,STD,2225000,388.04,4,4,2,5734,16,88427,139,Y,Y,44617,CRMLSM,0.02,Medium,76755
SW21265827,SFR/D,31014,Jedediah Smith RD  ,Temecula,STD,2225000,438.16,5,3,1,5078,21,101495,45,Y,Y,44693,CRMLSM,0.02,Medium,103546
SW23034906,SFR/D,27470,Sycamore Mesa RD  ,Temecula,STD,2224000,335.8,6,6,1,6623,16,195149,0,Y,N,44986,CRMLSM,0.025,Medium,103546
SW22259037,SFR/D,36420,Calle Puerta Bonita   ,Temecula,STD,2200000,661.85,4,3,0,3324,37,194278,84,Y,Y,45026,CRMLSM,0.025,Medium,103546
SW22022292,SFR/D,9261,Ioamosa   ,Rancho Cucamonga,STD,2175000,455.88,5,4,1,4771,4,19602,9,Y,Y,44659,CRMLSM,0.03,High,97046
OC22009236,SFR/D,3848,Ashwood CIR  ,Corona,REO,2152500,376.84,6,5,1,5712,20,43560,11,Y,Y,44617,CRMLSM,0.01,Low,95268
CV22082845,SFR/D,33150,Pauba RD  ,Temecula,STD,2150000,676.74,4,2,2,3177,35,201683,8,Y,Y,44757,CRMLSM,0.02,Medium,103546
EV22247111,SFR/D,9769,Santina ST  ,Rancho Cucamonga,STD,2135000,516.95,4,5,0,4130,17,43747,18,Y,Y,44939,CRMLSM,0.02,Medium,97046
IG21003956,SFR/D,16675,Perris BLVD  ,Moreno Valley,STD,2125000,1279.35,4,2,0,1661,58,20038,105,Y,Y,44680,CRMLSM,0.01,Low,73635
IV22071373,SFR/D,23186,Twin Canyon DR  ,Grand Terrace,STD,2100000,283.78,6,10,0,7400,15,82764,0,Y,Y,44799,CRMLSM,0.02,Medium,76791
GD22145617,SFR/D,9153,Sharp DR  ,Rancho Cucamonga,STD,2100000,476.41,5,4,1,4408,22,24100,14,Y,Y,44813,CRMLSM,0.02,Medium,97046
SW22159887,SFR/D,40732,Los Ranchos Circle   ,Temecula,STD,2100000,609.23,6,,,3447,1,124146,0,Y,N,44841,CRMLSM,0.01,Low,103546
CV22214905,SFR/D,13090,Carnesi DR  ,Rancho Cucamonga,STD,2100000,393.85,6,5,1,5332,19,22479,7,Y,Y,44880,CRMLSM,0.019,Low,97046
CV23015346,SFR/D,4918,Lone Acres CT  ,Rancho Cucamonga,STD,2100000,405.01,5,5,1,5185,17,21755,7,Y,N,44999,CRMLSM,0.02,Medium,97046
SW23021126,SFR/D,40430,Parado Del Sol DR  ,Temecula,STD,2099900,390.97,5,4,1,5371,33,119790,87,Y,Y,45015,CRMLSM,0.02,Medium,103546
CV23017339,SFR/D,2492,Sierra DR  ,Upland,STD,2095000,269.77,6,5,1,7766,37,33000,19,Y,Y,45007,CRMLSM,0.025,Medium,82259
TR22016332,SFR/D,5031,Castle CT  ,Rancho Cucamonga,STD,2075000,396.67,4,4,2,5231,33,25800,44,N,Y,44713,CRMLSM,0.0175,Low,97046
EV22148735,SFR/D,10963,Stallion WAY  ,Rancho Cucamonga,STD,2055000,304.31,5,5,1,6753,20,20682,7,Y,Y,44816,CRMLSM,0.025,Medium,97046
CV22002664,SFR/D,43050,De Portola RD  ,Temecula,STD,2050000,683.33,5,4,1,3000,23,566280,1,Y,Y,44607,CRMLSM,0.02,Medium,103546
EV22089294,SFR/D,1651,Dwight ST  ,Redlands,STD,2050000,475.64,5,4,0,4310,57,36590,4,Y,Y,44733,CRMLSM,0.02,Medium,87184
CV22129095,SFR/D,44 W,25th ST  ,Upland,STD,2050000,383.25,5,5,3,5349,27,24176,30,Y,Y,44803,CRMLSM,0.02,Medium,82259
SW22120156,SFR/D,41455,Via Del Monte   ,Temecula,STD,2050000,296.71,5,4,1,6909,18,469141,76,Y,N,44826,CRMLSM,0.025,Medium,103546
SW22199652,SFR/D,42950,Valentine CIR  ,Temecula,STD,2050000,426.91,7,6,0,4802,24,111514,4,Y,Y,44851,CRMLSM,0.02,Medium,103546
AR22089349,SFR/D,9026,Laramie DR  ,Rancho Cucamonga,STD,2050000,345.18,6,5,2,5939,18,20400,147,Y,Y,44872,CRMLSM,0.02,Medium,97046
SW22061501,SFR/D,43650,Camaron RD  ,Temecula,STD,2029000,373.73,5,3,0,5429,27,391604,3,Y,Y,44686,CRMLSM,0.02,Medium,103546
SW21241113,SFR/D,41664,Camino Del Vino   ,Temecula,STD,2000000,528.12,5,4,2,3787,32,97139,6,Y,Y,44564,CRMLSM,0.02,Medium,103546
OC22008182,SFR/D,10566,Calabash   ,Fontana,STD,2000000,1114.21,4,3,1,1795,59,27840,31,N,N,44635,CRMLSM,0.02,Medium,83468
CV22079463,SFR/D,5786,Beryl ST  ,Rancho Cucamonga,STD,2000000,475.4,5,4,1,4207,23,24400,3,Y,Y,44722,CRMLSM,0.025,Medium,97046
OC22143699,SFR/D,42009,Knoll Vista LN  ,Temecula,STD,2000000,488.28,4,4,1,4096,7,89298,28,Y,N,44805,CRMLSM,0.02,Medium,103546
SW23006257,SFR/D,44200,Sunset TER  ,Temecula,STD,2000000,404.86,5,4,1,4940,22,182952,13,Y,Y,44991,CRMLSM,0.025,Medium,103546
EV22256652,SFR/D,650 W,Sunset DR  ,Redlands,STD,2000000,362.58,5,4,1,5516,24,85378,23,Y,Y,45001,CRMLSM,0.025,Medium,87184
EV21242659,SFR/D,33022,Avenue E   ,Yucaipa,STD,1999990,1400.55,3,2,0,1428,44,243936,546,Y,N,44648,CRMLSM,0.025,Medium,75456
IV22174278,SFR/D,1922,Country Club LN  ,Redlands,TRUS,1999500,358.27,5,4,1,5581,40,49658,8,Y,Y,44820,CRMLSM,0.02,Medium,87184
IG23006665,SFR/D,21843,Thimbleberry CT  ,Corona,STD,1999000,351.69,5,5,1,5684,18,43560,5,Y,Y,44998,CRMLSM,0.0225,Medium,95268
PW22013350,SFR/D,1862,Bradley ST  ,Riverside,STD,1980000,479.3,5,5,0,4131,18,198634,17,Y,Y,44636,CRMLSM,0.02,Medium,76755
CV22242545,SFR/D,4926,Paddock PL  ,Rancho Cucamonga,STD,1975000,335.2,6,6,1,5892,17,27296,83,Y,N,45023,CRMLSM,0.02,Medium,97046
OC23036482,SFR/D,36280,Via Champagne   ,Temecula,STD,1975000,403.06,6,5,1,4900,39,199069,12,Y,Y,45036,CRMLSM,0.02,Medium,103546
CV22045325,SFR/D,11076,Hiddentrail DR  ,Rancho Cucamonga,STD,1960000,332.65,6,6,1,5892,17,20064,24,Y,N,44672,CRMLSM,0.02,Medium,97046
NP22039252,SFR/D,39779,Avenida Brisa   ,Temecula,STD,1950000,519.31,5,4,0,3755,17,209524,5,Y,Y,44631,CRMLSM,0.025,Medium,103546
SW22007373,SFR/D,43074,Brighton Ridge LN  ,Temecula,STD,1950000,404.65,4,4,1,4819,18,54886,28,Y,Y,44636,CRMLSM,0.02,Medium,103546
SW22036631,SFR/D,39590,De Marquez CT  ,Temecula,STD,1950000,599.45,5,3,0,3253,34,110642,11,Y,Y,44650,CRMLSM,0.025,Medium,103546
CV22033319,SFR/D,8150,Inspiration DR  ,Rancho Cucamonga,STD,1950000,460.78,5,4,1,4232,27,42924,8,Y,Y,44676,CRMLSM,0.0225,Medium,97046
CV22015549,SFR/A,10415,Hillside RD  ,Rancho Cucamonga,STD,1950000,324.24,7,5,0,6014,20,20160,46,Y,Y,44684,CRMLSM,0.02,Medium,97046
