bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,commission,sale_price,population,median_family_income,price_per_sqft,clusters
3,2.0,1575,63,8167,0,2.5,1500000.0,3862210,71505.72,952.3809523809524,2
3,2.0,2046,74,6328,1,2.5,2300000.0,3862210,71505.72,1124.1446725317694,2
3,2.0,1438,92,6748,1,2.5,833000.0,3862210,71505.72,579.2767732962448,2
3,2.0,1956,95,3051,10,2.5,1897220.0,3862210,71505.72,969.9488752556238,2
3,2.0,1350,71,10261,10,2.5,1846000.0,3862210,71505.72,1367.4074074074074,2
3,2.0,1730,109,6757,10,2.5,1870000.0,3862210,71505.72,1080.9248554913297,2
3,2.0,1923,86,6033,10,2.5,2425000.0,3862210,71505.72,1261.0504420176808,2
3,2.0,1090,84,4239,10,2.5,690000.0,3862210,71505.72,633.0275229357799,2
3,2.0,1624,91,3958,10,2.5,710000.0,3862210,71505.72,437.192118226601,2
3,2.0,3648,114,6766,10,2.5,2222000.0,3862210,71505.72,609.1008771929825,2
3,2.0,1584,111,5869,10,2.5,989000.0,3862210,71505.72,624.3686868686868,2
3,2.0,1375,79,6627,10,2.5,1280000.0,3862210,71505.72,930.9090909090908,2
3,2.0,1505,101,5617,10,2.5,1625000.0,3862210,71505.72,1079.734219269103,2
3,2.0,1354,65,6647,10,2.5,1541000.0,3862210,71505.72,1138.109305760709,2
3,2.0,1164,69,8055,10,2.5,1145000.0,3862210,71505.72,983.6769759450171,2
3,2.0,1905,87,10517,11,2.5,1530000.0,3862210,71505.72,803.1496062992126,2
3,2.0,1673,75,7514,11,2.5,2050000.0,3862210,71505.72,1225.3436939629407,2
3,2.0,1381,98,6628,11,2.5,976000.0,3862210,71505.72,706.7342505430847,2
3,2.0,1236,102,3821,11,2.5,715000.0,3862210,71505.72,578.4789644012945,2
3,2.0,1000,115,4842,116,2.5,600000.0,3862210,71505.72,600.0,2
3,2.0,1663,83,4994,118,2.5,1450000.0,3862210,71505.72,871.9182200841852,2
3,2.0,1130,63,4746,12,2.5,835000.0,3862210,71505.72,738.9380530973451,2
3,2.0,1804,99,4040,12,2.5,1625000.0,3862210,71505.72,900.7760532150776,2
3,2.0,1664,99,5221,12,2.5,2030000.0,3862210,71505.72,1219.951923076923,2
3,2.0,1667,83,7808,12,2.5,1510000.0,3862210,71505.72,905.8188362327536,2
3,2.0,1511,64,6001,12,2.5,1695000.0,3862210,71505.72,1121.7736598279284,2
3,2.0,1482,101,5750,12,2.5,978300.0,3862210,71505.72,660.1214574898786,2
3,2.0,1298,72,5775,12,2.5,1475000.0,3862210,71505.72,1136.3636363636365,2
3,2.0,1807,96,6894,12,2.5,965000.0,3862210,71505.72,534.0343110127283,2
3,2.0,1196,83,7968,12,2.5,1213000.0,3862210,71505.72,1014.2140468227424,2
3,2.0,1389,97,4000,12,2.5,1125000.0,3862210,71505.72,809.9352051835854,2
3,2.0,2060,94,6625,12,2.5,760000.0,3862210,71505.72,368.9320388349514,2
3,2.0,1496,99,12113,12,2.5,1475000.0,3862210,71505.72,985.9625668449198,2
3,2.0,1739,60,14665,12,2.5,1510000.0,3862210,71505.72,868.3151236342726,2
3,2.0,2168,70,9927,12,2.5,3000000.0,3862210,71505.72,1383.7638376383763,2
3,2.0,1976,23,8363,12,2.5,2815000.0,3862210,71505.72,1424.5951417004048,2
3,2.0,1800,82,6030,120,2.5,1325000.0,3862210,71505.72,736.1111111111111,2
3,2.0,1525,111,5099,126,2.5,940000.0,3862210,71505.72,616.3934426229508,2
3,2.0,1530,102,5646,13,2.5,1350000.0,3862210,71505.72,882.3529411764706,2
3,2.0,1731,70,7575,13,2.5,1600000.0,3862210,71505.72,924.321201617562,2
3,2.0,1697,70,18865,13,2.5,1615000.0,3862210,71505.72,951.679434295816,2
3,2.0,1136,107,4000,13,2.5,1270000.0,3862210,71505.72,1117.957746478873,2
3,2.0,1440,115,5403,13,2.5,1014000.0,3862210,71505.72,704.1666666666666,2
3,2.0,1815,101,6250,13,2.5,1495000.0,3862210,71505.72,823.6914600550964,2
3,2.0,1800,97,10758,13,2.5,1600000.0,3862210,71505.72,888.8888888888889,2
3,2.0,962,99,3432,13,2.5,1065000.0,3862210,71505.72,1107.068607068607,2
3,2.0,1884,73,8196,14,2.5,1640000.0,3862210,71505.72,870.488322717622,2
3,2.0,1595,86,6504,14,2.5,1900000.0,3862210,71505.72,1191.2225705329154,2
3,2.0,1100,68,4976,14,2.5,1350000.0,3862210,71505.72,1227.2727272727273,2
3,2.0,2203,72,7530,14,2.5,1435000.0,3862210,71505.72,651.3844757149342,2
3,2.0,1442,112,7250,14,2.5,1627000.0,3862210,71505.72,1128.2940360610264,2
3,2.0,1783,86,8966,14,2.5,1625000.0,3862210,71505.72,911.3853056646102,2
3,2.0,1723,92,6066,14,2.5,2030000.0,3862210,71505.72,1178.177597214161,2
3,2.0,1700,76,5347,14,2.5,1650000.0,3862210,71505.72,970.5882352941176,2
3,2.0,2289,67,9516,14,2.5,1725000.0,3862210,71505.72,753.6041939711664,2
3,2.0,1661,59,9703,14,2.5,1210000.0,3862210,71505.72,728.476821192053,2
3,2.0,2562,75,7029,14,2.5,3180000.0,3862210,71505.72,1241.217798594848,2
3,2.0,1577,94,7254,14,2.5,1300000.0,3862210,71505.72,824.3500317057704,2
3,2.0,1730,112,5615,140,2.5,690000.0,3862210,71505.72,398.84393063583815,2
3,2.0,2136,96,10098,15,2.5,3155000.0,3862210,71505.72,1477.059925093633,2
3,2.0,1374,72,5194,15,2.5,800000.0,3862210,71505.72,582.2416302765648,2
3,2.0,1353,83,4983,15,2.5,1760000.0,3862210,71505.72,1300.8130081300812,2
3,2.0,1431,52,3444,15,2.5,1537000.0,3862210,71505.72,1074.074074074074,2
3,2.0,1627,72,5402,15,2.5,1340000.0,3862210,71505.72,823.6017209588199,2
3,2.0,2017,95,7367,15,2.5,1720000.0,3862210,71505.72,852.7516113039167,2
3,2.0,1922,84,4800,15,2.5,2510000.0,3862210,71505.72,1305.9313215400623,2
3,2.0,1302,63,8021,16,2.5,1431000.0,3862210,71505.72,1099.078341013825,2
3,2.0,1812,97,5610,16,2.5,1200000.0,3862210,71505.72,662.2516556291391,2
3,2.0,1056,67,5407,16,2.5,555000.0,3862210,71505.72,525.5681818181819,2
3,2.0,2014,64,7718,16,2.5,1300000.0,3862210,71505.72,645.4816285998014,2
3,2.0,1342,105,5678,16,2.5,1425000.0,3862210,71505.72,1061.8479880774962,2
3,2.0,1949,88,6563,17,2.5,2431550.0,3862210,71505.72,1247.588506926629,2
3,2.0,1777,101,11081,17,2.5,1411000.0,3862210,71505.72,794.0348902644907,2
3,2.0,1519,92,5423,17,2.5,1575000.0,3862210,71505.72,1036.8663594470047,2
3,2.0,1398,64,5102,17,2.5,1250000.0,3862210,71505.72,894.134477825465,2
3,2.0,1385,74,7517,17,2.5,1500000.0,3862210,71505.72,1083.0324909747292,2
3,2.0,1348,74,5501,18,2.5,699900.0,3862210,71505.72,519.213649851632,2
3,2.0,3130,112,8512,18,2.5,1295000.0,3862210,71505.72,413.73801916932905,2
3,2.0,1591,71,12530,18,2.5,2355000.0,3862210,71505.72,1480.201131363922,2
3,2.0,1352,61,3230,18,2.5,1255000.0,3862210,71505.72,928.2544378698224,2
3,2.0,1127,73,6007,18,2.5,1240000.0,3862210,71505.72,1100.2661934338953,2
3,2.0,1233,79,5961,19,2.5,1260000.0,3862210,71505.72,1021.897810218978,2
3,2.0,1672,87,7379,19,2.5,1381000.0,3862210,71505.72,825.9569377990431,2
3,2.0,1627,60,10085,20,2.5,1425000.0,3862210,71505.72,875.8451137062077,2
3,2.0,2609,95,9024,20,2.5,3250000.0,3862210,71505.72,1245.688003066309,2
3,2.0,1720,91,5600,20,2.5,1186500.0,3862210,71505.72,689.8255813953489,2
3,2.0,1720,47,7346,20,2.5,1019000.0,3862210,71505.72,592.4418604651163,2
3,2.0,1816,83,8449,20,2.5,1740000.0,3862210,71505.72,958.1497797356828,2
3,2.0,1716,96,6500,20,2.5,1975000.0,3862210,71505.72,1150.932400932401,2
3,2.0,1472,96,4453,20,2.5,1400000.0,3862210,71505.72,951.0869565217392,2
3,2.0,1143,76,5200,20,2.5,710000.0,3862210,71505.72,621.172353455818,2
3,2.0,1348,103,5622,202,2.5,425000.0,3862210,71505.72,315.2818991097923,2
3,2.0,1477,72,7849,21,2.5,1458000.0,3862210,71505.72,987.136086662153,2
3,2.0,850,100,4202,21,2.5,570000.0,3862210,71505.72,670.5882352941177,2
3,2.0,2194,98,4987,21,2.5,1720000.0,3862210,71505.72,783.9562443026435,2
3,2.0,1140,101,5801,21,2.5,1220000.0,3862210,71505.72,1070.1754385964912,2
3,2.0,1958,86,7399,22,2.5,2225000.0,3862210,71505.72,1136.3636363636365,2
3,2.0,1213,91,4832,22,2.5,1040000.0,3862210,71505.72,857.3784006595218,2
3,2.0,2292,104,8797,22,2.5,1295000.0,3862210,71505.72,565.0087260034904,2
3,2.0,1428,109,5200,22,2.5,1215000.0,3862210,71505.72,850.8403361344538,2
3,2.0,1984,115,11968,22,2.5,2360000.0,3862210,71505.72,1189.516129032258,2
3,2.0,1370,61,4891,225,2.5,1250000.0,3862210,71505.72,912.4087591240876,2
3,2.0,1544,82,6296,23,2.5,1275000.0,3862210,71505.72,825.7772020725389,2
3,2.0,1609,96,4758,23,2.5,1175000.0,3862210,71505.72,730.2672467371038,2
3,2.0,1312,73,5430,24,2.5,1610000.0,3862210,71505.72,1227.1341463414635,2
3,2.0,1318,83,5953,24,2.5,1200000.0,3862210,71505.72,910.4704097116844,2
3,2.0,2403,64,9225,24,2.5,3100000.0,3862210,71505.72,1290.054099042863,2
3,2.0,1311,73,5000,24,2.5,1280000.0,3862210,71505.72,976.3539282990084,2
3,2.0,1176,75,5000,24,2.5,585000.0,3862210,71505.72,497.4489795918368,2
3,2.0,2108,68,8716,25,2.5,2500000.0,3862210,71505.72,1185.9582542694498,2
3,2.0,1066,123,2537,25,2.5,800000.0,3862210,71505.72,750.46904315197,2
3,2.0,2033,63,4809,25,2.5,2090000.0,3862210,71505.72,1028.03738317757,2
3,2.0,2321,56,6784,25,2.5,1916000.0,3862210,71505.72,825.5062473071952,2
3,2.0,939,97,13558,26,2.5,955000.0,3862210,71505.72,1017.0394036208731,2
3,2.0,1600,38,3253,26,2.5,425000.0,3862210,71505.72,265.625,2
3,2.0,1731,66,18413,26,2.5,1290000.0,3862210,71505.72,745.2339688041594,2
3,2.0,1708,61,11730,27,2.5,1750000.0,3862210,71505.72,1024.5901639344263,2
3,2.0,1056,97,1755,28,2.5,1225000.0,3862210,71505.72,1160.0378787878788,2
3,2.0,1785,98,8250,29,2.5,2300000.0,3862210,71505.72,1288.515406162465,2
3,2.0,1636,87,5403,29,2.5,940000.0,3862210,71505.72,574.5721271393643,2
3,2.0,1491,83,19368,29,2.5,2360000.0,3862210,71505.72,1582.8303152246815,2
3,2.0,1783,84,5859,29,2.5,2085000.0,3862210,71505.72,1169.377453729669,2
3,2.0,1423,75,6396,3,2.5,1005000.0,3862210,71505.72,706.2543921293043,2
3,2.0,1500,65,10317,3,2.5,2000000.0,3862210,71505.72,1333.3333333333333,2
3,2.0,1574,85,5113,30,2.5,1849000.0,3862210,71505.72,1174.7141041931386,2
3,2.0,1400,76,5720,30,2.5,1377000.0,3862210,71505.72,983.5714285714286,2
3,2.0,1989,61,17440,30,2.5,2820000.0,3862210,71505.72,1417.7978883861238,2
3,2.0,2364,74,9021,31,2.5,2900000.0,3862210,71505.72,1226.7343485617598,2
3,2.0,1345,99,5017,32,2.5,925000.0,3862210,71505.72,687.7323420074349,2
3,2.0,1834,95,5100,32,2.5,600000.0,3862210,71505.72,327.15376226826606,2
3,2.0,2056,72,7251,33,2.5,2450000.0,3862210,71505.72,1191.634241245136,2
3,2.0,1915,84,6213,34,2.5,1980000.0,3862210,71505.72,1033.9425587467365,2
3,2.0,1392,120,7500,34,2.5,1797000.0,3862210,71505.72,1290.948275862069,2
3,2.0,1256,110,4962,35,2.5,750000.0,3862210,71505.72,597.1337579617834,2
3,2.0,2051,67,12463,35,2.5,1950000.0,3862210,71505.72,950.7557289127255,2
3,2.0,2096,91,10251,36,2.5,1720000.0,3862210,71505.72,820.6106870229007,2
3,2.0,832,102,4570,38,2.5,595000.0,3862210,71505.72,715.1442307692307,2
3,2.0,1560,72,5614,38,2.5,1425000.0,3862210,71505.72,913.4615384615385,2
3,2.0,1563,82,7456,39,2.5,1750000.0,3862210,71505.72,1119.6417146513115,2
3,2.0,1276,97,6700,4,2.5,765000.0,3862210,71505.72,599.5297805642633,2
3,2.0,1344,102,6000,4,2.5,615000.0,3862210,71505.72,457.5892857142857,2
3,2.0,1656,95,7248,4,2.5,2450000.0,3862210,71505.72,1479.4685990338164,2
3,2.0,1876,97,5739,40,2.5,1270000.0,3862210,71505.72,676.9722814498934,2
3,2.0,2180,95,6510,40,2.5,2000000.0,3862210,71505.72,917.4311926605504,2
3,2.0,1276,74,5304,40,2.5,779900.0,3862210,71505.72,611.2068965517242,2
3,2.0,1464,95,5405,41,2.5,819000.0,3862210,71505.72,559.4262295081967,2
3,2.0,2022,99,4466,42,2.5,1875000.0,3862210,71505.72,927.299703264095,2
3,2.0,2497,116,6557,44,2.5,1650000.0,3862210,71505.72,660.7929515418502,2
3,2.0,2090,91,6075,44,2.5,1330000.0,3862210,71505.72,636.3636363636364,2
3,2.0,1759,86,5094,44,2.5,975000.0,3862210,71505.72,554.2922114837976,2
3,2.0,1820,88,8197,45,2.5,1480000.0,3862210,71505.72,813.1868131868132,2
3,2.0,1499,97,5200,45,2.5,799000.0,3862210,71505.72,533.022014676451,2
3,2.0,1600,84,9708,48,2.5,1675000.0,3862210,71505.72,1046.875,2
3,2.0,1500,99,5802,48,2.5,960000.0,3862210,71505.72,640.0,2
3,2.0,1208,97,4427,49,2.5,765000.0,3862210,71505.72,633.2781456953643,2
3,2.0,1473,98,4520,5,2.5,860000.0,3862210,71505.72,583.8424983027834,2
3,2.0,1697,74,6748,5,2.5,1175000.0,3862210,71505.72,692.3983500294638,2
3,2.0,930,105,3629,5,2.5,1210000.0,3862210,71505.72,1301.0752688172042,2
3,2.0,1847,69,5631,50,2.5,1590000.0,3862210,71505.72,860.855441256091,2
