street_number,street_name,city,state,country,address,bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,view,pool,commission,sale_date,price_per_sqft,sale_price
3819,Division ST,Los Angeles,CA,United States of America,"3819, Division ST, Los Angeles, CA, United States of America",3,2,1575,63,8167,0,Y,N,2.5,45007,952.38,1500000
2411,Silver Ridge AVE,Los Angeles,CA,United States of America,"2411, Silver Ridge AVE, Los Angeles, CA, United States of America",3,2,2046,74,6328,1,Y,N,2.5,45072,1124.14,2300000
8907,Dalton AVE,Los Angeles,CA,United States of America,"8907, Dalton AVE, Los Angeles, CA, United States of America",3,2,1438,92,6748,1,Y,N,2.5,44978,579.28,833000
2545,Verbena DR,Los Angeles,CA,United States of America,"2545, Verbena DR, Los Angeles, CA, United States of America",3,2,1956,95,3051,10,Y,N,2.5,44819,969.95,1897220
1847,Calgary LN,Los Angeles,CA,United States of America,"1847, Calgary LN, Los Angeles, CA, United States of America",3,2,1350,71,10261,10,Y,N,2.5,44867,1367.41,1846000
1530 N,Sierra Bonita AVE,Los Angeles,CA,United States of America,"1530 N, Sierra Bonita AVE, Los Angeles, CA, United States of America",3,2,1730,109,6757,10,Y,N,2.5,44981,1080.92,1870000
1925,Fairburn AVE,Los Angeles,CA,United States of America,"1925, Fairburn AVE, Los Angeles, CA, United States of America",3,2,1923,86,6033,10,Y,N,2.5,45068,1261.05,2425000
1392 N,Eastern AVE,Los Angeles,CA,United States of America,"1392 N, Eastern AVE, Los Angeles, CA, United States of America",3,2,1090,84,4239,10,Y,N,2.5,44806,633.03,690000
2067 W,68th ST,Los Angeles,CA,United States of America,"2067 W, 68th ST, Los Angeles, CA, United States of America",3,2,1624,91,3958,10,Y,N,2.5,44984,437.19,710000
4524,Russell AVE,Los Angeles,CA,United States of America,"4524, Russell AVE, Los Angeles, CA, United States of America",3,2,3648,114,6766,10,Y,N,2.5,44888,609.1,2222000
1583,W 48th Street,Los Angeles,CA,United States of America,"1583, W 48th Street, Los Angeles, CA, United States of America",3,2,1584,111,5869,10,Y,N,2.5,44911,624.37,989000
6524 W,87th PL,Los Angeles,CA,United States of America,"6524 W, 87th PL, Los Angeles, CA, United States of America",3,2,1375,79,6627,10,Y,N,2.5,45013,930.91,1280000
6857,Camrose DR,Los Angeles,CA,United States of America,"6857, Camrose DR, Los Angeles, CA, United States of America",3,2,1505,101,5617,10,Y,N,2.5,44874,1079.73,1625000
4648,Nob Hill DR,Los Angeles,CA,United States of America,"4648, Nob Hill DR, Los Angeles, CA, United States of America",3,2,1354,65,6647,10,Y,N,2.5,44943,1138.11,1541000
4536,Yosemite WAY,Los Angeles,CA,United States of America,"4536, Yosemite WAY, Los Angeles, CA, United States of America",3,2,1164,69,8055,10,Y,N,2.5,44953,983.68,1145000
5300,Brynhurst AVE,Los Angeles,CA,United States of America,"5300, Brynhurst AVE, Los Angeles, CA, United States of America",3,2,1905,87,10517,11,Y,N,2.5,44881,803.15,1530000
3600,Frances AVE,Los Angeles,CA,United States of America,"3600, Frances AVE, Los Angeles, CA, United States of America",3,2,1673,75,7514,11,Y,N,2.5,44939,1225.34,2050000
4813,TEMPLETON ST,Los Angeles,CA,United States of America,"4813, TEMPLETON ST, Los Angeles, CA, United States of America",3,2,1381,98,6628,11,Y,N,2.5,44775,706.73,976000
5829,Arroyo DR,Los Angeles,CA,United States of America,"5829, Arroyo DR, Los Angeles, CA, United States of America",3,2,1236,102,3821,11,Y,N,2.5,44816,578.48,715000
6613,Holmes AVE,Los Angeles,CA,United States of America,"6613, Holmes AVE, Los Angeles, CA, United States of America",3,2,1000,115,4842,116,Y,N,2.5,44973,600,600000
8929,Holly PL,Los Angeles,CA,United States of America,"8929, Holly PL, Los Angeles, CA, United States of America",3,2,1663,83,4994,118,Y,N,2.5,44879,871.92,1450000
5257,Coney RD,Los Angeles,CA,United States of America,"5257, Coney RD, Los Angeles, CA, United States of America",3,2,1130,63,4746,12,Y,N,2.5,44865,738.94,835000
2277,Canyon DR,Los Angeles,CA,United States of America,"2277, Canyon DR, Los Angeles, CA, United States of America",3,2,1804,99,4040,12,Y,N,2.5,45023,900.78,1625000
2327,Vista Gordo DR,Los Angeles,CA,United States of America,"2327, Vista Gordo DR, Los Angeles, CA, United States of America",3,2,1664,99,5221,12,Y,N,2.5,45058,1219.95,2030000
1720,Sanborn AVE,Los Angeles,CA,United States of America,"1720, Sanborn AVE, Los Angeles, CA, United States of America",3,2,1667,83,7808,12,Y,N,2.5,44804,905.82,1510000
8127,Westlawn AVE,Los Angeles,CA,United States of America,"8127, Westlawn AVE, Los Angeles, CA, United States of America",3,2,1511,64,6001,12,Y,N,2.5,45070,1121.77,1695000
534,North Avenue 67,Los Angeles,CA,United States of America,"534, North Avenue 67, Los Angeles, CA, United States of America",3,2,1482,101,5750,12,Y,N,2.5,44858,660.12,978300
3149 S,Bentley AVE,Los Angeles,CA,United States of America,"3149 S, Bentley AVE, Los Angeles, CA, United States of America",3,2,1298,72,5775,12,Y,N,2.5,45058,1136.36,1475000
7630,Cimarron ST,Los Angeles,CA,United States of America,"7630, Cimarron ST, Los Angeles, CA, United States of America",3,2,1807,96,6894,12,Y,N,2.5,44960,534.03,965000
3937,Wawona ST,Los Angeles,CA,United States of America,"3937, Wawona ST, Los Angeles, CA, United States of America",3,2,1196,83,7968,12,Y,N,2.5,45072,1014.21,1213000
2848,Hillcrest DR,Los Angeles,CA,United States of America,"2848, Hillcrest DR, Los Angeles, CA, United States of America",3,2,1389,97,4000,12,Y,N,2.5,44894,809.94,1125000
9630 S,Harvard BLVD,Los Angeles,CA,United States of America,"9630 S, Harvard BLVD, Los Angeles, CA, United States of America",3,2,2060,94,6625,12,Y,N,2.5,44985,368.93,760000
4918,La Roda AVE,Los Angeles,CA,United States of America,"4918, La Roda AVE, Los Angeles, CA, United States of America",3,2,1496,99,12113,12,Y,N,2.5,44881,985.96,1475000
3729,Mayfair DR,Los Angeles,CA,United States of America,"3729, Mayfair DR, Los Angeles, CA, United States of America",3,2,1739,60,14665,12,Y,N,2.5,44846,868.32,1510000
4278,Sea View LN,Los Angeles,CA,United States of America,"4278, Sea View LN, Los Angeles, CA, United States of America",3,2,2168,70,9927,12,Y,N,2.5,44991,1383.76,3000000
3228,Fernwood AVE,Los Angeles,CA,United States of America,"3228, Fernwood AVE, Los Angeles, CA, United States of America",3,2,1976,23,8363,12,Y,N,2.5,45006,1424.6,2815000
8011,Vicksburg AVE,Los Angeles,CA,United States of America,"8011, Vicksburg AVE, Los Angeles, CA, United States of America",3,2,1800,82,6030,120,Y,N,2.5,44981,736.11,1325000
